Symbol,Name,Exchange,add_to_asset
VIW.VN,Tổng công ty Đầu tư Nước và Môi trường Việt Nam - Công ty Cổ phần,VnStock,0
VIT.VN,Công ty Cổ phần Viglacera Tiên Sơn,VnStock,0
VIS.VN,Công ty Cổ phần Thép Việt Ý,VnStock,0
VIR.VN,Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,VnStock,0
VIP.VN,Công ty Cổ phần Vận tải Xăng dầu VIPCO,VnStock,1
VIN.VN,Công ty Cổ phần Giao nhận Kho vận Ngoại thương Việt Nam,VnStock,0
VIM.VN,Công ty Cổ phần Khoáng sản Viglacera,VnStock,0
VIH.VN,Công ty Cổ phần Viglacera Hà Nội,VnStock,0
VIG.VN,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,VnStock,0
VIF.VN,Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần,VnStock,0
VIE.VN,Công ty Cổ phần Công nghệ Viễn thông VI TE CO,VnStock,0
VID.VN,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,VnStock,1
VIC.VN,Tập đoàn Vingroup - Công ty CP,VnStock,1
VIB.VN,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,VnStock,1
VHM.VN,Công ty Cổ phần Vinhomes,VnStock,1
VHL.VN,Công ty Cổ phần Viglacera Hạ Long,VnStock,0
VHI.VN,,VnStock,0
VHH.VN,Công ty Cổ phần Đầu tư Kinh doanh nhà Thành Đạt,VnStock,0
VHG.VN,Công ty Cổ phần Đầu tư và Phát triển Việt Trung Nam,VnStock,0
VHF.VN,Công ty Cổ phần Xây dựng và Chế biến lương thực Vĩnh Hà,VnStock,0
VHE.VN,Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam,VnStock,0
VHD.VN,Công ty Cổ phần Đầu tư phát triển nhà và đô thị VINAHUD,VnStock,0
VHC.VN,Công ty Cổ phần Vĩnh Hoàn,VnStock,1
VGV.VN,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,VnStock,0
VGT.VN,Tập đoàn Dệt May Việt Nam,VnStock,0
VGS.VN,Công ty Cổ phần Ống thép Việt - Đức VG PIPE,VnStock,0
VGR.VN,Công ty Cổ phần Cảng xanh VIP,VnStock,0
VGP.VN,Công ty Cổ phần Cảng Rau Quả,VnStock,0
VGL.VN,Công ty Cổ phần Mạ kẽm công nghiệp Vingal-Vnsteel,VnStock,0
VGI.VN,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,VnStock,0
VGG.VN,Tổng Công Ty Cổ phần May Việt Tiến,VnStock,0
VGC.VN,Tổng Công ty Viglacera - Công ty Cổ phần,VnStock,1
VFS.VN,Công ty Cổ phần Chứng khoán Nhất Việt,VnStock,0
VFR.VN,Công ty Cổ phần Vận tải và Thuê tàu,VnStock,0
VFG.VN,Công ty Cổ phần Khử trùng Việt Nam,VnStock,1
VFC.VN,Công ty Cổ phần VINAFCO,VnStock,0
VET.VN,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO,VnStock,0
